C:\Bydon (piton)\PP_Lab_2\dataset\2900.jpg, dataset\2900.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5003.jpg, dataset\5003.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4947.jpg, dataset\4947.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9643.jpg, dataset\9643.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5536.jpg, dataset\5536.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1592.jpg, dataset\1592.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8898.jpg, dataset\8898.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4580.jpg, dataset\4580.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8414.jpg, dataset\8414.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5810.jpg, dataset\5810.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3653.jpg, dataset\3653.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1156.jpg, dataset\1156.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6583.jpg, dataset\6583.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3872.jpg, dataset\3872.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4442.jpg, dataset\4442.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1663.jpg, dataset\1663.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5763.jpg, dataset\5763.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4274.jpg, dataset\4274.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1659.jpg, dataset\1659.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3617.jpg, dataset\3617.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1980.jpg, dataset\1980.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5905.jpg, dataset\5905.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3092.jpg, dataset\3092.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4775.jpg, dataset\4775.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1978.jpg, dataset\1978.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6340.jpg, dataset\6340.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1910.jpg, dataset\1910.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5922.jpg, dataset\5922.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8922.jpg, dataset\8922.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1508.jpg, dataset\1508.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1055.jpg, dataset\1055.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4212.jpg, dataset\4212.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3501.jpg, dataset\3501.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8179.jpg, dataset\8179.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9514.jpg, dataset\9514.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3292.jpg, dataset\3292.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7959.jpg, dataset\7959.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\981.jpg, dataset\981.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3113.jpg, dataset\3113.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2655.jpg, dataset\2655.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6827.jpg, dataset\6827.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1480.jpg, dataset\1480.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5607.jpg, dataset\5607.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9540.jpg, dataset\9540.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7340.jpg, dataset\7340.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4554.jpg, dataset\4554.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3650.jpg, dataset\3650.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5899.jpg, dataset\5899.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3033.jpg, dataset\3033.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8962.jpg, dataset\8962.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9384.jpg, dataset\9384.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2752.jpg, dataset\2752.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4683.jpg, dataset\4683.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2555.jpg, dataset\2555.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8434.jpg, dataset\8434.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\470.jpg, dataset\470.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4573.jpg, dataset\4573.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8481.jpg, dataset\8481.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9553.jpg, dataset\9553.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8655.jpg, dataset\8655.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6319.jpg, dataset\6319.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8953.jpg, dataset\8953.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4941.jpg, dataset\4941.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7588.jpg, dataset\7588.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4596.jpg, dataset\4596.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\525.jpg, dataset\525.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7473.jpg, dataset\7473.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7249.jpg, dataset\7249.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3803.jpg, dataset\3803.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5917.jpg, dataset\5917.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2949.jpg, dataset\2949.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6755.jpg, dataset\6755.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8978.jpg, dataset\8978.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4957.jpg, dataset\4957.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9535.jpg, dataset\9535.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2035.jpg, dataset\2035.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\894.jpg, dataset\894.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\22.jpg, dataset\22.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9253.jpg, dataset\9253.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\415.jpg, dataset\415.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4195.jpg, dataset\4195.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5016.jpg, dataset\5016.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7848.jpg, dataset\7848.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8787.jpg, dataset\8787.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1855.jpg, dataset\1855.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1500.jpg, dataset\1500.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7416.jpg, dataset\7416.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8410.jpg, dataset\8410.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8761.jpg, dataset\8761.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7647.jpg, dataset\7647.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6610.jpg, dataset\6610.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1485.jpg, dataset\1485.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8010.jpg, dataset\8010.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9258.jpg, dataset\9258.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2852.jpg, dataset\2852.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7093.jpg, dataset\7093.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9548.jpg, dataset\9548.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6316.jpg, dataset\6316.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3882.jpg, dataset\3882.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3075.jpg, dataset\3075.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6072.jpg, dataset\6072.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7424.jpg, dataset\7424.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\273.jpg, dataset\273.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\763.jpg, dataset\763.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8290.jpg, dataset\8290.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3643.jpg, dataset\3643.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8200.jpg, dataset\8200.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3931.jpg, dataset\3931.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3550.jpg, dataset\3550.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9628.jpg, dataset\9628.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9826.jpg, dataset\9826.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5277.jpg, dataset\5277.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1163.jpg, dataset\1163.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\171.jpg, dataset\171.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6262.jpg, dataset\6262.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8017.jpg, dataset\8017.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2935.jpg, dataset\2935.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9201.jpg, dataset\9201.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5719.jpg, dataset\5719.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1363.jpg, dataset\1363.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7569.jpg, dataset\7569.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\851.jpg, dataset\851.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\294.jpg, dataset\294.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\754.jpg, dataset\754.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7608.jpg, dataset\7608.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9143.jpg, dataset\9143.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5049.jpg, dataset\5049.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8444.jpg, dataset\8444.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\715.jpg, dataset\715.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7104.jpg, dataset\7104.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3187.jpg, dataset\3187.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9487.jpg, dataset\9487.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\76.jpg, dataset\76.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3447.jpg, dataset\3447.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7227.jpg, dataset\7227.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9382.jpg, dataset\9382.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3088.jpg, dataset\3088.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3342.jpg, dataset\3342.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\277.jpg, dataset\277.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9788.jpg, dataset\9788.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4667.jpg, dataset\4667.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2396.jpg, dataset\2396.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9773.jpg, dataset\9773.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7068.jpg, dataset\7068.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3010.jpg, dataset\3010.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8858.jpg, dataset\8858.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6865.jpg, dataset\6865.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\571.jpg, dataset\571.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6135.jpg, dataset\6135.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1083.jpg, dataset\1083.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9917.jpg, dataset\9917.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7530.jpg, dataset\7530.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8411.jpg, dataset\8411.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5857.jpg, dataset\5857.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8782.jpg, dataset\8782.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5471.jpg, dataset\5471.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8768.jpg, dataset\8768.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8060.jpg, dataset\8060.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1355.jpg, dataset\1355.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7952.jpg, dataset\7952.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4746.jpg, dataset\4746.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6874.jpg, dataset\6874.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6496.jpg, dataset\6496.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7126.jpg, dataset\7126.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1190.jpg, dataset\1190.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9901.jpg, dataset\9901.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\958.jpg, dataset\958.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6681.jpg, dataset\6681.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7879.jpg, dataset\7879.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1965.jpg, dataset\1965.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4883.jpg, dataset\4883.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9012.jpg, dataset\9012.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6872.jpg, dataset\6872.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5160.jpg, dataset\5160.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2290.jpg, dataset\2290.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8235.jpg, dataset\8235.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8994.jpg, dataset\8994.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2603.jpg, dataset\2603.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3914.jpg, dataset\3914.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8120.jpg, dataset\8120.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3917.jpg, dataset\3917.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4200.jpg, dataset\4200.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5717.jpg, dataset\5717.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4319.jpg, dataset\4319.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3129.jpg, dataset\3129.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4759.jpg, dataset\4759.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7345.jpg, dataset\7345.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4790.jpg, dataset\4790.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3286.jpg, dataset\3286.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5648.jpg, dataset\5648.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8138.jpg, dataset\8138.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\759.jpg, dataset\759.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9852.jpg, dataset\9852.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6117.jpg, dataset\6117.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2085.jpg, dataset\2085.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9330.jpg, dataset\9330.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6108.jpg, dataset\6108.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1528.jpg, dataset\1528.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9551.jpg, dataset\9551.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3213.jpg, dataset\3213.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4983.jpg, dataset\4983.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4838.jpg, dataset\4838.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7445.jpg, dataset\7445.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1505.jpg, dataset\1505.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9479.jpg, dataset\9479.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8829.jpg, dataset\8829.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2367.jpg, dataset\2367.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9054.jpg, dataset\9054.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9624.jpg, dataset\9624.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9292.jpg, dataset\9292.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2682.jpg, dataset\2682.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7708.jpg, dataset\7708.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6076.jpg, dataset\6076.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\598.jpg, dataset\598.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5935.jpg, dataset\5935.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9908.jpg, dataset\9908.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1510.jpg, dataset\1510.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4128.jpg, dataset\4128.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1695.jpg, dataset\1695.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1329.jpg, dataset\1329.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9733.jpg, dataset\9733.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\831.jpg, dataset\831.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7312.jpg, dataset\7312.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3344.jpg, dataset\3344.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9876.jpg, dataset\9876.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4806.jpg, dataset\4806.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9653.jpg, dataset\9653.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7599.jpg, dataset\7599.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4049.jpg, dataset\4049.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5460.jpg, dataset\5460.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7138.jpg, dataset\7138.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5868.jpg, dataset\5868.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7043.jpg, dataset\7043.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5897.jpg, dataset\5897.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7083.jpg, dataset\7083.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8352.jpg, dataset\8352.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4484.jpg, dataset\4484.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6510.jpg, dataset\6510.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5384.jpg, dataset\5384.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9045.jpg, dataset\9045.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8725.jpg, dataset\8725.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5281.jpg, dataset\5281.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\629.jpg, dataset\629.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6029.jpg, dataset\6029.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8942.jpg, dataset\8942.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8869.jpg, dataset\8869.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6837.jpg, dataset\6837.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\514.jpg, dataset\514.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6742.jpg, dataset\6742.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2075.jpg, dataset\2075.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7709.jpg, dataset\7709.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5563.jpg, dataset\5563.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8276.jpg, dataset\8276.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6350.jpg, dataset\6350.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8613.jpg, dataset\8613.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6502.jpg, dataset\6502.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1155.jpg, dataset\1155.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6456.jpg, dataset\6456.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9974.jpg, dataset\9974.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1117.jpg, dataset\1117.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3658.jpg, dataset\3658.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6492.jpg, dataset\6492.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1568.jpg, dataset\1568.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3267.jpg, dataset\3267.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4706.jpg, dataset\4706.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7433.jpg, dataset\7433.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9811.jpg, dataset\9811.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5541.jpg, dataset\5541.jpg, Cat
