C:\Bydon (piton)\PP_Lab_2\dataset\cat_0000.jpg, dataset\cat_0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0032.jpg, dataset\cat_0032.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0033.jpg, dataset\cat_0033.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0034.jpg, dataset\cat_0034.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0035.jpg, dataset\cat_0035.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0036.jpg, dataset\cat_0036.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0037.jpg, dataset\cat_0037.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0038.jpg, dataset\cat_0038.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0039.jpg, dataset\cat_0039.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0040.jpg, dataset\cat_0040.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0041.jpg, dataset\cat_0041.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0042.jpg, dataset\cat_0042.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0043.jpg, dataset\cat_0043.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0044.jpg, dataset\cat_0044.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0045.jpg, dataset\cat_0045.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0046.jpg, dataset\cat_0046.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0047.jpg, dataset\cat_0047.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0048.jpg, dataset\cat_0048.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0049.jpg, dataset\cat_0049.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0050.jpg, dataset\cat_0050.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0051.jpg, dataset\cat_0051.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0052.jpg, dataset\cat_0052.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0053.jpg, dataset\cat_0053.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0054.jpg, dataset\cat_0054.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0055.jpg, dataset\cat_0055.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0056.jpg, dataset\cat_0056.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0057.jpg, dataset\cat_0057.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0058.jpg, dataset\cat_0058.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0059.jpg, dataset\cat_0059.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0060.jpg, dataset\cat_0060.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0061.jpg, dataset\cat_0061.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0062.jpg, dataset\cat_0062.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0063.jpg, dataset\cat_0063.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0064.jpg, dataset\cat_0064.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0065.jpg, dataset\cat_0065.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0066.jpg, dataset\cat_0066.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0067.jpg, dataset\cat_0067.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0068.jpg, dataset\cat_0068.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0069.jpg, dataset\cat_0069.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0070.jpg, dataset\cat_0070.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0071.jpg, dataset\cat_0071.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0072.jpg, dataset\cat_0072.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0073.jpg, dataset\cat_0073.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0074.jpg, dataset\cat_0074.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0075.jpg, dataset\cat_0075.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0076.jpg, dataset\cat_0076.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0077.jpg, dataset\cat_0077.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0078.jpg, dataset\cat_0078.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0079.jpg, dataset\cat_0079.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0080.jpg, dataset\cat_0080.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0081.jpg, dataset\cat_0081.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0082.jpg, dataset\cat_0082.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0083.jpg, dataset\cat_0083.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0084.jpg, dataset\cat_0084.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0085.jpg, dataset\cat_0085.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0086.jpg, dataset\cat_0086.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0087.jpg, dataset\cat_0087.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0088.jpg, dataset\cat_0088.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0089.jpg, dataset\cat_0089.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0090.jpg, dataset\cat_0090.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0091.jpg, dataset\cat_0091.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0092.jpg, dataset\cat_0092.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0093.jpg, dataset\cat_0093.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0094.jpg, dataset\cat_0094.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0095.jpg, dataset\cat_0095.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0096.jpg, dataset\cat_0096.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0097.jpg, dataset\cat_0097.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0098.jpg, dataset\cat_0098.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0099.jpg, dataset\cat_0099.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0100.jpg, dataset\cat_0100.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0101.jpg, dataset\cat_0101.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0102.jpg, dataset\cat_0102.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0103.jpg, dataset\cat_0103.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0104.jpg, dataset\cat_0104.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0105.jpg, dataset\cat_0105.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0106.jpg, dataset\cat_0106.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0107.jpg, dataset\cat_0107.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0108.jpg, dataset\cat_0108.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0109.jpg, dataset\cat_0109.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0110.jpg, dataset\cat_0110.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0111.jpg, dataset\cat_0111.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0112.jpg, dataset\cat_0112.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0113.jpg, dataset\cat_0113.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0114.jpg, dataset\cat_0114.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0115.jpg, dataset\cat_0115.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0116.jpg, dataset\cat_0116.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0117.jpg, dataset\cat_0117.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0118.jpg, dataset\cat_0118.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0119.jpg, dataset\cat_0119.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0120.jpg, dataset\cat_0120.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0121.jpg, dataset\cat_0121.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0122.jpg, dataset\cat_0122.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0123.jpg, dataset\cat_0123.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0124.jpg, dataset\cat_0124.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0125.jpg, dataset\cat_0125.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0126.jpg, dataset\cat_0126.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0127.jpg, dataset\cat_0127.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0128.jpg, dataset\cat_0128.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0129.jpg, dataset\cat_0129.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0130.jpg, dataset\cat_0130.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0131.jpg, dataset\cat_0131.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0132.jpg, dataset\cat_0132.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0133.jpg, dataset\cat_0133.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0134.jpg, dataset\cat_0134.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0135.jpg, dataset\cat_0135.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0136.jpg, dataset\cat_0136.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0137.jpg, dataset\cat_0137.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0138.jpg, dataset\cat_0138.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0139.jpg, dataset\cat_0139.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0140.jpg, dataset\cat_0140.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0141.jpg, dataset\cat_0141.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0142.jpg, dataset\cat_0142.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0143.jpg, dataset\cat_0143.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0144.jpg, dataset\cat_0144.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0145.jpg, dataset\cat_0145.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0146.jpg, dataset\cat_0146.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0147.jpg, dataset\cat_0147.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0148.jpg, dataset\cat_0148.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0149.jpg, dataset\cat_0149.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0150.jpg, dataset\cat_0150.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0151.jpg, dataset\cat_0151.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0152.jpg, dataset\cat_0152.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0153.jpg, dataset\cat_0153.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0154.jpg, dataset\cat_0154.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0155.jpg, dataset\cat_0155.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0156.jpg, dataset\cat_0156.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0157.jpg, dataset\cat_0157.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0158.jpg, dataset\cat_0158.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0159.jpg, dataset\cat_0159.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0160.jpg, dataset\cat_0160.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0161.jpg, dataset\cat_0161.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0162.jpg, dataset\cat_0162.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0163.jpg, dataset\cat_0163.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0164.jpg, dataset\cat_0164.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0165.jpg, dataset\cat_0165.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0166.jpg, dataset\cat_0166.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0167.jpg, dataset\cat_0167.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0168.jpg, dataset\cat_0168.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0169.jpg, dataset\cat_0169.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0170.jpg, dataset\cat_0170.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0171.jpg, dataset\cat_0171.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0172.jpg, dataset\cat_0172.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0173.jpg, dataset\cat_0173.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0174.jpg, dataset\cat_0174.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0175.jpg, dataset\cat_0175.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0176.jpg, dataset\cat_0176.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0177.jpg, dataset\cat_0177.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0178.jpg, dataset\cat_0178.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0179.jpg, dataset\cat_0179.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0180.jpg, dataset\cat_0180.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0181.jpg, dataset\cat_0181.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0182.jpg, dataset\cat_0182.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0183.jpg, dataset\cat_0183.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0184.jpg, dataset\cat_0184.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0185.jpg, dataset\cat_0185.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0186.jpg, dataset\cat_0186.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0187.jpg, dataset\cat_0187.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0188.jpg, dataset\cat_0188.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0189.jpg, dataset\cat_0189.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0190.jpg, dataset\cat_0190.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0191.jpg, dataset\cat_0191.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0192.jpg, dataset\cat_0192.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0193.jpg, dataset\cat_0193.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0194.jpg, dataset\cat_0194.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0195.jpg, dataset\cat_0195.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0196.jpg, dataset\cat_0196.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0197.jpg, dataset\cat_0197.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0198.jpg, dataset\cat_0198.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0199.jpg, dataset\cat_0199.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0200.jpg, dataset\cat_0200.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0201.jpg, dataset\cat_0201.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0202.jpg, dataset\cat_0202.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0203.jpg, dataset\cat_0203.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0204.jpg, dataset\cat_0204.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0205.jpg, dataset\cat_0205.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0206.jpg, dataset\cat_0206.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0207.jpg, dataset\cat_0207.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0208.jpg, dataset\cat_0208.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0209.jpg, dataset\cat_0209.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0210.jpg, dataset\cat_0210.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0211.jpg, dataset\cat_0211.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0212.jpg, dataset\cat_0212.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0213.jpg, dataset\cat_0213.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0214.jpg, dataset\cat_0214.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0215.jpg, dataset\cat_0215.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0216.jpg, dataset\cat_0216.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0217.jpg, dataset\cat_0217.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0218.jpg, dataset\cat_0218.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0219.jpg, dataset\cat_0219.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0220.jpg, dataset\cat_0220.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0221.jpg, dataset\cat_0221.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0222.jpg, dataset\cat_0222.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0223.jpg, dataset\cat_0223.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0224.jpg, dataset\cat_0224.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0225.jpg, dataset\cat_0225.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0226.jpg, dataset\cat_0226.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0227.jpg, dataset\cat_0227.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0228.jpg, dataset\cat_0228.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0229.jpg, dataset\cat_0229.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0230.jpg, dataset\cat_0230.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0231.jpg, dataset\cat_0231.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0232.jpg, dataset\cat_0232.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0233.jpg, dataset\cat_0233.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0234.jpg, dataset\cat_0234.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0235.jpg, dataset\cat_0235.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0236.jpg, dataset\cat_0236.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0237.jpg, dataset\cat_0237.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0238.jpg, dataset\cat_0238.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0239.jpg, dataset\cat_0239.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0240.jpg, dataset\cat_0240.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0241.jpg, dataset\cat_0241.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0242.jpg, dataset\cat_0242.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0243.jpg, dataset\cat_0243.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0244.jpg, dataset\cat_0244.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0245.jpg, dataset\cat_0245.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0246.jpg, dataset\cat_0246.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0247.jpg, dataset\cat_0247.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0248.jpg, dataset\cat_0248.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0249.jpg, dataset\cat_0249.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0250.jpg, dataset\cat_0250.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0251.jpg, dataset\cat_0251.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0252.jpg, dataset\cat_0252.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0253.jpg, dataset\cat_0253.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0254.jpg, dataset\cat_0254.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0255.jpg, dataset\cat_0255.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0256.jpg, dataset\cat_0256.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0257.jpg, dataset\cat_0257.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0258.jpg, dataset\cat_0258.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0259.jpg, dataset\cat_0259.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0260.jpg, dataset\cat_0260.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0261.jpg, dataset\cat_0261.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0262.jpg, dataset\cat_0262.jpg, Cat
