C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0000.jpg, dataset\Cats\0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0051.jpg, dataset\Cats\0051.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0052.jpg, dataset\Cats\0052.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0053.jpg, dataset\Cats\0053.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0054.jpg, dataset\Cats\0054.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0055.jpg, dataset\Cats\0055.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0056.jpg, dataset\Cats\0056.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0057.jpg, dataset\Cats\0057.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0058.jpg, dataset\Cats\0058.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0059.jpg, dataset\Cats\0059.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0060.jpg, dataset\Cats\0060.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0061.jpg, dataset\Cats\0061.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0062.jpg, dataset\Cats\0062.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0063.jpg, dataset\Cats\0063.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0064.jpg, dataset\Cats\0064.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0065.jpg, dataset\Cats\0065.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0066.jpg, dataset\Cats\0066.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0067.jpg, dataset\Cats\0067.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0068.jpg, dataset\Cats\0068.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0069.jpg, dataset\Cats\0069.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0070.jpg, dataset\Cats\0070.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0071.jpg, dataset\Cats\0071.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0072.jpg, dataset\Cats\0072.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0073.jpg, dataset\Cats\0073.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0074.jpg, dataset\Cats\0074.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0075.jpg, dataset\Cats\0075.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0076.jpg, dataset\Cats\0076.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0077.jpg, dataset\Cats\0077.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0078.jpg, dataset\Cats\0078.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0079.jpg, dataset\Cats\0079.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0080.jpg, dataset\Cats\0080.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0081.jpg, dataset\Cats\0081.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0082.jpg, dataset\Cats\0082.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0083.jpg, dataset\Cats\0083.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0084.jpg, dataset\Cats\0084.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0085.jpg, dataset\Cats\0085.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0086.jpg, dataset\Cats\0086.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0087.jpg, dataset\Cats\0087.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0088.jpg, dataset\Cats\0088.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0089.jpg, dataset\Cats\0089.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0090.jpg, dataset\Cats\0090.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0091.jpg, dataset\Cats\0091.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0092.jpg, dataset\Cats\0092.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0093.jpg, dataset\Cats\0093.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0094.jpg, dataset\Cats\0094.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0095.jpg, dataset\Cats\0095.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0096.jpg, dataset\Cats\0096.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0097.jpg, dataset\Cats\0097.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0098.jpg, dataset\Cats\0098.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0099.jpg, dataset\Cats\0099.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0100.jpg, dataset\Cats\0100.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0101.jpg, dataset\Cats\0101.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0102.jpg, dataset\Cats\0102.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0103.jpg, dataset\Cats\0103.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0104.jpg, dataset\Cats\0104.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0105.jpg, dataset\Cats\0105.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0106.jpg, dataset\Cats\0106.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0107.jpg, dataset\Cats\0107.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0108.jpg, dataset\Cats\0108.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0109.jpg, dataset\Cats\0109.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0110.jpg, dataset\Cats\0110.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0111.jpg, dataset\Cats\0111.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0112.jpg, dataset\Cats\0112.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0113.jpg, dataset\Cats\0113.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0114.jpg, dataset\Cats\0114.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0115.jpg, dataset\Cats\0115.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0116.jpg, dataset\Cats\0116.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0117.jpg, dataset\Cats\0117.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0118.jpg, dataset\Cats\0118.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0119.jpg, dataset\Cats\0119.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0120.jpg, dataset\Cats\0120.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0121.jpg, dataset\Cats\0121.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0122.jpg, dataset\Cats\0122.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0123.jpg, dataset\Cats\0123.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0124.jpg, dataset\Cats\0124.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0125.jpg, dataset\Cats\0125.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0126.jpg, dataset\Cats\0126.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0127.jpg, dataset\Cats\0127.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0128.jpg, dataset\Cats\0128.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0129.jpg, dataset\Cats\0129.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0130.jpg, dataset\Cats\0130.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0131.jpg, dataset\Cats\0131.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0132.jpg, dataset\Cats\0132.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0133.jpg, dataset\Cats\0133.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0134.jpg, dataset\Cats\0134.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0135.jpg, dataset\Cats\0135.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0136.jpg, dataset\Cats\0136.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0137.jpg, dataset\Cats\0137.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0138.jpg, dataset\Cats\0138.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0139.jpg, dataset\Cats\0139.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0140.jpg, dataset\Cats\0140.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0141.jpg, dataset\Cats\0141.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0142.jpg, dataset\Cats\0142.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0143.jpg, dataset\Cats\0143.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0144.jpg, dataset\Cats\0144.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0145.jpg, dataset\Cats\0145.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0146.jpg, dataset\Cats\0146.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0147.jpg, dataset\Cats\0147.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0148.jpg, dataset\Cats\0148.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0149.jpg, dataset\Cats\0149.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0150.jpg, dataset\Cats\0150.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0151.jpg, dataset\Cats\0151.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0152.jpg, dataset\Cats\0152.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0153.jpg, dataset\Cats\0153.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0154.jpg, dataset\Cats\0154.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0155.jpg, dataset\Cats\0155.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0156.jpg, dataset\Cats\0156.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0157.jpg, dataset\Cats\0157.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0158.jpg, dataset\Cats\0158.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0159.jpg, dataset\Cats\0159.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0160.jpg, dataset\Cats\0160.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0161.jpg, dataset\Cats\0161.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0162.jpg, dataset\Cats\0162.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0163.jpg, dataset\Cats\0163.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0164.jpg, dataset\Cats\0164.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0165.jpg, dataset\Cats\0165.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0166.jpg, dataset\Cats\0166.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0167.jpg, dataset\Cats\0167.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0168.jpg, dataset\Cats\0168.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0169.jpg, dataset\Cats\0169.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0170.jpg, dataset\Cats\0170.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0171.jpg, dataset\Cats\0171.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0172.jpg, dataset\Cats\0172.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0173.jpg, dataset\Cats\0173.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0174.jpg, dataset\Cats\0174.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0175.jpg, dataset\Cats\0175.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0176.jpg, dataset\Cats\0176.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0177.jpg, dataset\Cats\0177.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0178.jpg, dataset\Cats\0178.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0179.jpg, dataset\Cats\0179.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0180.jpg, dataset\Cats\0180.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0181.jpg, dataset\Cats\0181.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0182.jpg, dataset\Cats\0182.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0183.jpg, dataset\Cats\0183.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0184.jpg, dataset\Cats\0184.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0185.jpg, dataset\Cats\0185.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0186.jpg, dataset\Cats\0186.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0187.jpg, dataset\Cats\0187.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0188.jpg, dataset\Cats\0188.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0189.jpg, dataset\Cats\0189.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0190.jpg, dataset\Cats\0190.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0191.jpg, dataset\Cats\0191.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0192.jpg, dataset\Cats\0192.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0193.jpg, dataset\Cats\0193.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0194.jpg, dataset\Cats\0194.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0195.jpg, dataset\Cats\0195.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0196.jpg, dataset\Cats\0196.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0197.jpg, dataset\Cats\0197.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0198.jpg, dataset\Cats\0198.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0199.jpg, dataset\Cats\0199.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0200.jpg, dataset\Cats\0200.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0201.jpg, dataset\Cats\0201.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0202.jpg, dataset\Cats\0202.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0203.jpg, dataset\Cats\0203.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0204.jpg, dataset\Cats\0204.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0205.jpg, dataset\Cats\0205.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0206.jpg, dataset\Cats\0206.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0207.jpg, dataset\Cats\0207.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0208.jpg, dataset\Cats\0208.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0209.jpg, dataset\Cats\0209.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0210.jpg, dataset\Cats\0210.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0211.jpg, dataset\Cats\0211.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0212.jpg, dataset\Cats\0212.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0213.jpg, dataset\Cats\0213.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0214.jpg, dataset\Cats\0214.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0215.jpg, dataset\Cats\0215.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0216.jpg, dataset\Cats\0216.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0217.jpg, dataset\Cats\0217.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0218.jpg, dataset\Cats\0218.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0219.jpg, dataset\Cats\0219.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0220.jpg, dataset\Cats\0220.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0221.jpg, dataset\Cats\0221.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0222.jpg, dataset\Cats\0222.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0223.jpg, dataset\Cats\0223.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0224.jpg, dataset\Cats\0224.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0225.jpg, dataset\Cats\0225.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0226.jpg, dataset\Cats\0226.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0227.jpg, dataset\Cats\0227.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0228.jpg, dataset\Cats\0228.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0229.jpg, dataset\Cats\0229.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0230.jpg, dataset\Cats\0230.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0231.jpg, dataset\Cats\0231.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0232.jpg, dataset\Cats\0232.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0233.jpg, dataset\Cats\0233.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0234.jpg, dataset\Cats\0234.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0235.jpg, dataset\Cats\0235.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0236.jpg, dataset\Cats\0236.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0237.jpg, dataset\Cats\0237.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0238.jpg, dataset\Cats\0238.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0239.jpg, dataset\Cats\0239.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0240.jpg, dataset\Cats\0240.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0241.jpg, dataset\Cats\0241.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0242.jpg, dataset\Cats\0242.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0243.jpg, dataset\Cats\0243.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0244.jpg, dataset\Cats\0244.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0245.jpg, dataset\Cats\0245.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0246.jpg, dataset\Cats\0246.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0247.jpg, dataset\Cats\0247.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0248.jpg, dataset\Cats\0248.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0249.jpg, dataset\Cats\0249.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0250.jpg, dataset\Cats\0250.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0251.jpg, dataset\Cats\0251.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0252.jpg, dataset\Cats\0252.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0253.jpg, dataset\Cats\0253.jpg, Cat
